Bachelor / Master;Campus;Dual;Fachbereich;Semester;Semester YoY T/F;Stand;Stand Semester Auswahl;Stand Semester Auswahl YoY (Kopie);Studiengang;Studiengang (Gruppe);Studienort;Winter / Sommer;Ausländische Studierende;Gesamtstudierende;Gesamtstudierende Semester Auswahl;Gesamtstudierende Semester Auswahl YoY;Studienanfängerinnen und Studienanfänger (1. FS);Studienanfängerinnen und Studienanfänger (1. HS);Studierende in der Regelstudienzeit;Weibliche Studierende
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Physikingenieurwesen;Physikingenieurwesen;Birkenfeld;Sommersemester;4;25;;;0;0;14;5
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Physikingenieurwesen;Physikingenieurwesen;Birkenfeld;Sommersemester;3;20;;;0;0;5;4
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Physikingenieurwesen;Physikingenieurwesen;Birkenfeld;Wintersemester;3;16;;;0;0;0;3
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Physikingenieurwesen;Physikingenieurwesen;Birkenfeld;Sommersemester;3;14;;;0;0;0;3
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Physikingenieurwesen;Physikingenieurwesen;Birkenfeld;Wintersemester;0;8;;8;0;0;0;3
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Physikingenieurwesen;Physikingenieurwesen;Birkenfeld;Wintersemester;3;23;;;0;0;9;6
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Physikingenieurwesen;Physikingenieurwesen;Birkenfeld;Wintersemester;1;2;2;;0;0;0;0
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Physiotherapie;Physiotherapie;Trier;Wintersemester;16;148;148;;51;36;111;92
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Wintersemester;0;7;7;;0;0;0;2
Bachelor;Hauptcampus;dual;Informatik;Sommersemester 2020;Falsch;02.06.2020;;;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Sommersemester;18;148;;;0;0;117;95
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2020/2021;Falsch;30.11.2020;;;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Wintersemester;15;125;;;0;0;81;81
Bachelor;Hauptcampus;dual;Informatik;Sommersemester 2021;Falsch;02.06.2021;;;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Sommersemester;12;101;;;0;0;78;64
Bachelor;Hauptcampus;dual;Informatik;Sommersemester 2022;Falsch;31.05.2022;;;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Sommersemester;8;72;;;0;0;37;45
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2022/2023;Falsch;30.11.2022;;;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Wintersemester;3;54;;;0;0;0;33
Bachelor;Hauptcampus;dual;Informatik;Sommersemester 2023;Falsch;31.05.2023;;;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Sommersemester;3;45;;;0;0;0;27
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2023/2024;Wahr;30.11.2023;;;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Wintersemester;0;19;;19;0;0;0;10
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2021/2022;Falsch;30.11.2021;;;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Wintersemester;10;90;;;0;0;39;54
Bachelor;Hauptcampus;dual;Informatik;Sommersemester 2024;Falsch;31.05.2024;;;Physiotherapie - Technik und Therapie;Physiotherapie - Technik und Therapie;Trier;Sommersemester;0;9;;;0;0;0;4
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2020/2021;Falsch;30.11.2020;;;Physiotherapie;Physiotherapie;Trier;Wintersemester;6;78;;;78;59;78;49
Bachelor;Hauptcampus;dual;Informatik;Sommersemester 2021;Falsch;02.06.2021;;;Physiotherapie;Physiotherapie;Trier;Sommersemester;6;68;;;0;0;68;43
Bachelor;Hauptcampus;dual;Informatik;Sommersemester 2022;Falsch;31.05.2022;;;Physiotherapie;Physiotherapie;Trier;Sommersemester;13;112;;;0;0;111;73
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2022/2023;Falsch;30.11.2022;;;Physiotherapie;Physiotherapie;Trier;Wintersemester;20;154;;;62;48;153;102
Bachelor;Hauptcampus;dual;Informatik;Sommersemester 2023;Falsch;31.05.2023;;;Physiotherapie;Physiotherapie;Trier;Sommersemester;20;137;;;0;0;136;90
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2023/2024;Wahr;30.11.2023;;;Physiotherapie;Physiotherapie;Trier;Wintersemester;18;168;;168;48;36;130;110
Bachelor;Hauptcampus;dual;Informatik;Wintersemester 2021/2022;Falsch;30.11.2021;;;Physiotherapie;Physiotherapie;Trier;Wintersemester;13;121;;;62;48;121;77
Bachelor;Hauptcampus;dual;Informatik;Sommersemester 2024;Falsch;31.05.2024;;;Physiotherapie;Physiotherapie;Trier;Sommersemester;15;132;;;0;0;112;86
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Wintersemester;0;11;11;;1;0;9;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Sommersemester;0;11;;;0;0;11;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Sommersemester;0;11;;;0;0;10;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Wintersemester;0;14;;;3;3;11;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Sommersemester;0;13;;;0;0;11;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Sommersemester;0;15;;;0;0;13;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Wintersemester;0;18;;;5;5;13;1
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Sommersemester;0;13;;;0;0;12;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Wintersemester;0;13;;13;4;4;12;0
Bachelor;Umwelt-Campus Birkenfeld;dual;Umweltplanung / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Produktionstechnologie;Produktionstechnologie;Birkenfeld;Wintersemester;0;17;;;5;5;13;0
Bachelor;Hauptcampus; ;Technik;Sommersemester 2020;Falsch;02.06.2020;;;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Sommersemester;0;16;;;0;0;10;5
Bachelor;Hauptcampus; ;Technik;Wintersemester 2020/2021;Falsch;30.11.2020;;;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Wintersemester;0;15;;;3;2;9;4
Bachelor;Hauptcampus; ;Technik;Sommersemester 2021;Falsch;02.06.2021;;;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Sommersemester;0;10;;;0;0;7;3
Bachelor;Hauptcampus; ;Technik;Sommersemester 2022;Falsch;31.05.2022;;;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Sommersemester;0;14;;;0;0;10;3
Bachelor;Hauptcampus; ;Technik;Wintersemester 2022/2023;Falsch;30.11.2022;;;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Wintersemester;0;13;;;4;2;9;1
Bachelor;Hauptcampus; ;Technik;Sommersemester 2023;Falsch;31.05.2023;;;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Sommersemester;0;10;;;0;0;7;1
Bachelor;Hauptcampus; ;Technik;Wintersemester 2023/2024;Wahr;30.11.2023;;;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Wintersemester;0;5;;5;0;0;3;1
Bachelor;Hauptcampus; ;Technik;Wintersemester 2021/2022;Falsch;30.11.2021;;;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Wintersemester;0;15;;;5;3;11;4
Bachelor;Hauptcampus; ;Technik;Sommersemester 2024;Falsch;31.05.2024;;;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Sommersemester;0;6;;;0;0;3;1
Bachelor;Hauptcampus; ;Technik;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Sicherheitsingenieurwesen;Sicherheitsingenieurwesen;Trier;Wintersemester;1;6;6;;0;0;0;2
Bachelor;Hauptcampus; ;Technik;Sommersemester 2020;Falsch;02.06.2020;;;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Sommersemester;3;19;;;0;0;19;8
Bachelor;Hauptcampus; ;Technik;Wintersemester 2020/2021;Falsch;30.11.2020;;;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Wintersemester;1;28;;;14;13;28;13
Bachelor;Hauptcampus; ;Technik;Sommersemester 2021;Falsch;02.06.2021;;;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Sommersemester;1;28;;;0;0;22;12
Bachelor;Hauptcampus; ;Technik;Sommersemester 2022;Falsch;31.05.2022;;;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Sommersemester;1;30;;;0;0;25;13
Bachelor;Hauptcampus; ;Technik;Wintersemester 2022/2023;Falsch;30.11.2022;;;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Wintersemester;0;28;;;5;3;26;14
Bachelor;Hauptcampus; ;Technik;Sommersemester 2023;Falsch;31.05.2023;;;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Sommersemester;0;27;;;0;0;23;13
Bachelor;Hauptcampus; ;Technik;Wintersemester 2023/2024;Wahr;30.11.2023;;;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Wintersemester;0;28;;28;4;3;25;14
Bachelor;Hauptcampus; ;Technik;Wintersemester 2021/2022;Falsch;30.11.2021;;;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Wintersemester;1;32;;;10;8;26;14
Bachelor;Hauptcampus; ;Technik;Sommersemester 2024;Falsch;31.05.2024;;;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Sommersemester;1;26;;;1;0;12;13
Bachelor;Hauptcampus; ;Technik;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Sport- und Rehatechnik;Sport- und Rehatechnik;Trier;Wintersemester;1;27;27;;7;3;17;14
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Sommersemester;149;159;;;13;13;121;54
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Sommersemester;87;90;;;0;0;88;21
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Wintersemester;155;161;;;76;74;145;40
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Sommersemester;121;127;;;0;0;117;36
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Sommersemester;124;131;;;1;0;108;43
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Wintersemester;162;176;;;54;37;132;57
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Sommersemester;134;144;;;2;0;103;47
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Wintersemester;178;191;;191;77;63;139;54
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Wintersemester;151;157;;;48;45;132;46
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Sustainable Business and Technology;Sustainable Business and Technology;Birkenfeld;Wintersemester;215;228;228;;94;64;180;66
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Sustainable Business and Technology (Double Degree);Sustainable Business and Technology;Birkenfeld;Sommersemester;19;19;;;0;0;19;10
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Sustainable Business and Technology (Double Degree);Sustainable Business and Technology;Birkenfeld;Wintersemester;20;20;;20;0;20;20;10
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Sustainable Business and Technology (Double Degree);Sustainable Business and Technology;Birkenfeld;Wintersemester;27;27;27;;0;15;15;11
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Sommersemester;2;28;;;0;0;6;16
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Sommersemester;5;43;;;3;0;21;12
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Wintersemester;2;39;;;10;0;22;16
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Sommersemester;2;38;;;0;0;19;18
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Sommersemester;2;46;;;0;0;26;23
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Wintersemester;2;39;;;0;0;16;20
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Sommersemester;1;28;;;0;0;16;14
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Wintersemester;2;30;;30;6;0;6;17
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Wintersemester;2;50;;;17;2;26;25
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Sustainable Change - Vom Wissen zum Handeln;Sustainable Change - Vom Wissen zum Handeln;Birkenfeld;Wintersemester;2;31;31;;9;1;15;17
Bachelor;Hauptcampus; ;Bauen + Leben;Sommersemester 2020;Falsch;02.06.2020;;;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Sommersemester;1;71;;;3;1;48;3
Bachelor;Hauptcampus; ;Bauen + Leben;Wintersemester 2020/2021;Falsch;30.11.2020;;;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Wintersemester;1;79;;;14;10;59;2
Bachelor;Hauptcampus; ;Bauen + Leben;Sommersemester 2021;Falsch;02.06.2021;;;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Sommersemester;1;75;;;0;0;41;2
Bachelor;Hauptcampus; ;Bauen + Leben;Sommersemester 2022;Falsch;31.05.2022;;;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Sommersemester;1;68;;;2;0;35;2
Bachelor;Hauptcampus; ;Bauen + Leben;Wintersemester 2022/2023;Falsch;30.11.2022;;;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Wintersemester;1;72;;;14;12;47;1
Bachelor;Hauptcampus; ;Bauen + Leben;Sommersemester 2023;Falsch;31.05.2023;;;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Sommersemester;1;64;;;0;0;39;1
Bachelor;Hauptcampus; ;Bauen + Leben;Wintersemester 2023/2024;Wahr;30.11.2023;;;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Wintersemester;0;57;;57;9;5;40;3
Bachelor;Hauptcampus; ;Bauen + Leben;Wintersemester 2021/2022;Falsch;30.11.2021;;;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Wintersemester;1;74;;;9;7;49;2
Bachelor;Hauptcampus; ;Bauen + Leben;Sommersemester 2024;Falsch;31.05.2024;;;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Sommersemester;0;50;;;1;0;27;3
Bachelor;Hauptcampus; ;Bauen + Leben;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Wintersemester;0;39;39;;5;5;29;5
Bachelor;Hauptcampus;dual;Bauen + Leben;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Technische Gebäudeausrüstung und Versorgungstechnik;Technische Gebäudeausrüstung und Versorgungstechnik;Trier;Wintersemester;0;5;5;;4;4;5;0
Master;Hauptcampus; ;Bauen + Leben;Sommersemester 2020;Falsch;02.06.2020;;;Technisches Gebäudemanagement und Energiemanagement;Technisches Gebäudemanagement und Energiemanagement;Trier;Sommersemester;0;3;;;0;0;0;1
Master;Hauptcampus; ;Bauen + Leben;Wintersemester 2020/2021;Falsch;30.11.2020;;;Technisches Gebäudemanagement und Energiemanagement;Technisches Gebäudemanagement und Energiemanagement;Trier;Wintersemester;0;2;;;0;0;0;0
Master;Hauptcampus; ;Bauen + Leben;Sommersemester 2021;Falsch;02.06.2021;;;Technisches Gebäudemanagement und Energiemanagement;Technisches Gebäudemanagement und Energiemanagement;Trier;Sommersemester;0;2;;;0;0;0;0
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;17;144;;;0;0;71;68
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;4;45;;;0;0;23;24
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;19;283;;;25;6;204;129
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;0;24;;;1;0;16;8
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;43;286;;;75;57;207;140
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2020/2021;Falsch;30.11.2020;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;3;112;;;54;0;86;57
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;32;268;;;31;18;196;137
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2021;Falsch;02.06.2021;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;4;92;;;1;1;77;42
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;42;239;;;18;14;163;119
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2022;Falsch;31.05.2022;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;2;95;;;0;0;79;49
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;39;229;;;45;30;131;120
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2022/2023;Falsch;30.11.2022;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;3;98;;;18;1;50;52
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;36;209;;;29;17;130;103
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Sommersemester 2023;Falsch;31.05.2023;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Sommersemester;3;83;;;5;0;53;47
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;34;183;;183;26;18;100;87
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2023/2024;Wahr;30.11.2023;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;5;73;;73;9;0;27;42
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;36;256;;;53;40;181;132
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2021/2022;Falsch;30.11.2021;;;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;3;123;;;41;1;84;60
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;8;107;107;;0;0;46;52
Master;Umwelt-Campus Birkenfeld; ;Umweltwirtschaft / Umweltrecht;Wintersemester 2024/2025;Falsch;02.12.2024;02.12.2024;02.12.2023 00:00:00;Umwelt- und Betriebswirtschaft;Umwelt- und Betriebswirtschaft;Birkenfeld;Wintersemester;3;32;32;;0;0;10;19
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2024;Falsch;31.05.2024;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Sommersemester;10;49;;;6;4;41;12
Bachelor;Umwelt-Campus Birkenfeld; ;Umweltplanung / Umweltrecht;Sommersemester 2020;Falsch;02.06.2020;;;Umwelt- und Wirtschaftsinformatik;Umwelt- und Wirtschaftsinformatik;Birkenfeld;Sommersemester;7;74;;;4;0;65;17
