Nationalität;Standort;Studierende
Malaysia;Idar-Oberstein;0
Malaysia;Trier;1
Republik Moldau;Birkenfeld;1
Republik Moldau;Idar-Oberstein;0
Republik Moldau;Trier;0
Mexiko;Birkenfeld;12
Mexiko;Idar-Oberstein;0
Mexiko;Trier;4
Mongolei;Birkenfeld;1
Mongolei;Idar-Oberstein;0
Mongolei;Trier;3
Nordmazedonien;Birkenfeld;0
Nordmazedonien;Idar-Oberstein;0
Nordmazedonien;Trier;2
Mauritius;Birkenfeld;2
Mauritius;Idar-Oberstein;0
Mauritius;Trier;3
Myanmar;Birkenfeld;1
Myanmar;Idar-Oberstein;0
Myanmar;Trier;2
Norwegen;Birkenfeld;0
Norwegen;Idar-Oberstein;0
Norwegen;Trier;1
Namibia;Birkenfeld;1
Namibia;Idar-Oberstein;0
Namibia;Trier;0
Nepal;Birkenfeld;0
Nepal;Idar-Oberstein;0
Nepal;Trier;6
Niederlande;Birkenfeld;0
Niederlande;Idar-Oberstein;2
Niederlande;Trier;6
Ohne Angabe;Birkenfeld;1
Ohne Angabe;Idar-Oberstein;0
Ohne Angabe;Trier;1
Oman;Birkenfeld;1
Oman;Idar-Oberstein;0
Oman;Trier;0
Portugal;Birkenfeld;0
Portugal;Idar-Oberstein;0
Portugal;Trier;7
Peru;Birkenfeld;2
Peru;Idar-Oberstein;0
Peru;Trier;0
Pakistan, Islamische Rep.;Birkenfeld;27
Pakistan, Islamische Rep.;Idar-Oberstein;1
Pakistan, Islamische Rep.;Trier;18
Polen;Birkenfeld;1
Polen;Idar-Oberstein;0
Polen;Trier;10
Palästinens. Gebiete;Birkenfeld;1
Palästinens. Gebiete;Idar-Oberstein;0
Palästinens. Gebiete;Trier;2
Taiwan;Birkenfeld;3
Taiwan;Idar-Oberstein;1
Taiwan;Trier;9
Chile;Birkenfeld;2
Chile;Idar-Oberstein;0
Chile;Trier;1
Kamerun;Birkenfeld;10
Kamerun;Idar-Oberstein;0
Kamerun;Trier;28
Indonesien;Birkenfeld;6
Indonesien;Idar-Oberstein;0
Indonesien;Trier;77
Mauretanien;Birkenfeld;1
Mauretanien;Idar-Oberstein;0
Mauretanien;Trier;0
Kosovo;Birkenfeld;2
Kosovo;Idar-Oberstein;0
Kosovo;Trier;5
Libanon;Birkenfeld;0
Libanon;Idar-Oberstein;0
Libanon;Trier;5
Rumänien;Birkenfeld;2
Rumänien;Idar-Oberstein;0
Rumänien;Trier;7
Korea, Republik;Birkenfeld;0
Korea, Republik;Idar-Oberstein;1
Korea, Republik;Trier;2
Philippinen;Birkenfeld;3
Philippinen;Idar-Oberstein;0
Philippinen;Trier;2
Togo;Birkenfeld;0
Togo;Idar-Oberstein;0
Togo;Trier;2
Russische Föderation;Birkenfeld;10
Russische Föderation;Idar-Oberstein;1
Russische Föderation;Trier;16
Singapur;Birkenfeld;2
Singapur;Idar-Oberstein;0
Singapur;Trier;0
Slowenien;Birkenfeld;0
Slowenien;Idar-Oberstein;0
Slowenien;Trier;2
Somalia;Birkenfeld;0
Somalia;Idar-Oberstein;0
Somalia;Trier;1
Serbien;Birkenfeld;1
Serbien;Idar-Oberstein;0
Serbien;Trier;2
Südsudan;Birkenfeld;0
Südsudan;Idar-Oberstein;0
Südsudan;Trier;1
Staatenlos;Birkenfeld;0
Staatenlos;Idar-Oberstein;0
Staatenlos;Trier;6
Arabische Republ.Syrien;Birkenfeld;32
Arabische Republ.Syrien;Idar-Oberstein;0
Arabische Republ.Syrien;Trier;144
Tadschikistan;Birkenfeld;1
Tadschikistan;Idar-Oberstein;0
Tadschikistan;Trier;0
Thailand;Birkenfeld;2
Thailand;Idar-Oberstein;0
Thailand;Trier;1
Turkmenistan;Birkenfeld;1
Turkmenistan;Idar-Oberstein;0
Turkmenistan;Trier;0
Tunesien;Birkenfeld;5
Tunesien;Idar-Oberstein;0
Tunesien;Trier;7
Türkei;Birkenfeld;12
Türkei;Idar-Oberstein;1
Türkei;Trier;25
Ukraine;Birkenfeld;3
Ukraine;Idar-Oberstein;0
Ukraine;Trier;22
Vereinigte Arab. Emirate;Birkenfeld;2
Vereinigte Arab. Emirate;Idar-Oberstein;0
Vereinigte Arab. Emirate;Trier;0
Ungeklärt;Birkenfeld;0
Ungeklärt;Idar-Oberstein;0
Ungeklärt;Trier;2
Ver. Staaten von Amerika;Birkenfeld;6
Ver. Staaten von Amerika;Idar-Oberstein;0
Ver. Staaten von Amerika;Trier;9
Usbekistan;Birkenfeld;0
Usbekistan;Idar-Oberstein;0
Usbekistan;Trier;2
Vietnam;Birkenfeld;5
Vietnam;Idar-Oberstein;0
Vietnam;Trier;16
China (VR);Birkenfeld;117
China (VR);Idar-Oberstein;4
China (VR);Trier;19
Nigeria;Birkenfeld;10
Nigeria;Idar-Oberstein;1
Nigeria;Trier;10
St.Vincent u.d.Grenadines;Birkenfeld;1
St.Vincent u.d.Grenadines;Idar-Oberstein;0
St.Vincent u.d.Grenadines;Trier;0
Venezuela;Birkenfeld;0
Venezuela;Idar-Oberstein;1
Venezuela;Trier;2
Südafrika;Birkenfeld;0
Südafrika;Idar-Oberstein;0
Südafrika;Trier;1
